0010AA58 start
0010F79C sub_10F79C
0010F7E0 *sub_10F7E0
0010F984 *sub_10F984
0010FA3C sub_10FA3C
0010FA8C *sub_10FA8C
0010FB20 *sub_10FB20
00110060 sub_110060
00110138 sub_110138
001101D0 sub_1101D0
00110250 *sub_110250
001102E4 sub_1102E4
001106F8 sub_1106F8
00110738 sub_110738
00110820 sub_110820
001108B4 sub_1108B4
001108D4 *sub_1108D4
00110970 sub_110970
00110A08 sub_110A08
00110B28 *sub_110B28
00110BB4 *sub_110BB4
00110DA0 sub_110DA0
00111478 sub_111478
0011153C sub_11153C
00111600 sub_111600
00111694 *sub_111694
00111728 *sub_111728
00111790 *sub_111790
00111B14 *sub_111B14
00111BA8 *sub_111BA8
00111C38 sub_111C38
00111D60 *sub_111D60
00111E00 sub_111E00
00111E90 sub_111E90
00111EC8 *sub_111EC8
00112000 sub_112000
00112040 sub_112040
00112080 sub_112080
001120F8 sub_1120F8
001121C0 sub_1121C0
00112208 sub_112208
00112250 *sub_112250
00112300 sub_112300
00112358 sub_112358
001123B0 *sub_1123B0
00112424 sub_112424
00112468 sub_112468
0011258C sub_11258C
001125E8 sub_1125E8
00112664 sub_112664
001126A8 sub_1126A8
001127F8 sub_1127F8
00112818 sub_112818
0011285C sub_11285C
001128E0 *sub_1128E0
00112B38 sub_112B38
00112D98 sub_112D98
00112DCC sub_112DCC
00112E20 *sub_112E20
00112E7C sub_112E7C
00113BAC sub_113BAC
00113BE4 *sub_113BE4
00114AF4 sub_114AF4
00114B38 sub_114B38
00114BD0 sub_114BD0
00114C94 sub_114C94
00114D54 sub_114D54
00114E88 sub_114E88
00114F74 sub_114F74
00114FB8 sub_114FB8
00114FD8 sub_114FD8
00115018 sub_115018
001151DC sub_1151DC
00115234 sub_115234
0011528C sub_11528C
001152D0 sub_1152D0
00115314 sub_115314
00115360 *sub_115360
001154E4 sub_1154E4
00115528 sub_115528
001159F8 sub_1159F8
00115A9C *sub_115A9C
00115AD8 sub_115AD8
00115B30 sub_115B30
00115BFC sub_115BFC
00118040 sub_118040
0012B5D0 sub_12B5D0
0012B5E4 
00142854 sub_142854
00142868 sub_142868
0015823C sub_15823C
00158250 sub_158250
0015E000 sub_15E000
0016DBC8 sub_16DBC8
0016DBDC sub_16DBDC
001835B0 sub_1835B0
001835C4 sub_1835C4
00198F98 sub_198F98
00198FAC sub_198FAC
001AE980 sub_1AE980
001AE994 sub_1AE994
001C430C sub_1C430C
001C4320 sub_1C4320
001D9C98 sub_1D9C98
001D9CAC sub_1D9CAC
001EF624 sub_1EF624
001EF638 sub_1EF638
00202020 sub_202020
0020500C sub_20500C
00205020 sub_205020
0020D000 sub_20D000
0021A998 sub_21A998
0021A9AC sub_21A9AC
0021AB24 hal::Main::main
0021AE10 sub_21AE10
0021AE58 sub_21AE58
0021AEB0 sub_21AEB0
0021AEF8 sub_21AEF8
0021AF50 sub_21AF50
0021AFAC sub_21AFAC
0021AFD4 sub_21AFD4
0021AFEC sub_21AFEC
0021B03C sub_21B03C
0021B05C sub_21B05C
0021B0B8 sub_21B0B8
0021B0D0 sub_21B0D0
0021B224 sub_21B224
0021B378 sub_21B378
0021B3FC 
0021B430 _beginDeferredModelsGather
0021B458 _renderDeferredModels
0021B574 _beginDeferredWorldGather
0021B59C _renderDeferredWorld
0021B66C _requestClearRenderLists
0021B6B8 sub_21B6B8
0021B7A4 sub_21B7A4
0021B880 PVS::GetIndexAndBit
0021B8DC PVS::C_PVSZone::Clear
0021B9A0 PVS::AddPVSZone
0021BC08 PVS::AddMemberToZone
0021BC74 PVS::MatrixFromText
0021BE50 PVS::GetCurrentPVSZone
0021BE68 PVS::GetCurrentPVSZoneFast
0021BFA0 PVS::GetIsZoneVisibleFromCurrent
0021C028 PVS::GetLineIntersection
0021C114 PVS::GetLineAABBIntersection
0021C1EC PVS::PointInAABB
0021C260 PVS::GetInZone
0021C468 PVS::AssignZones
0021C480 PVS::GetIsZoneMember
0021C500 PVS::AssignZones
0021C518 PVS::AssignZones
0021C530 PVS::AssignZones
0021C558 PVS::Classify
0021C764 PVS::RenderPVSZones
0021C778 PVS::GetVisible
0021C790 PVS::GetVisible
0021C7A8 PVS::GetVisible
0021C8C8 PVS::GetCurrentPVSZone
0021CA60 PVS::LoadPVSZones
0021D6D8 PVS::LoadPVSZones
0021D700 PVS::Reload
0021D828 std::vector<int>::~vector
0021D84C PVS::C_PVSZone::~C_PVSZone
0021D8D4 std::vector<int>::_M_emplace_back_aux<int>
0021D99C PVS::C_PVSZone::C_PVSZone
0021DAF0 const&>
0021DE68 sub_21DE68
0021E08C GetPassStateFromPassMask
0021E114 sDMAMaterial::GetMaterialTexture
0021E12C sDMAMaterial::SetTexture
0021E144 sDMAMaterial::LoadTexture
0021E380 sDMAMaterial::sDMAMaterial
0021E3E4 sDMAMaterial::ReleaseTexture
0021E40C CullFade::Update
0021E470 sDMAModel::sDMAModel
0021E4B0 sDMAModel::~sDMAModel
0021E4C4 cWorldStreamEx::cWorldStreamEx
0021E584 cWorldStreamEx::IsShadowShader
0021E5C4 cWorldStreamEx::Initialise
0021E6F4 cWorldStreamEx::SetModelMatrix
0021E820 cWorldStreamEx::SetViewMatrix
0021F150 cWorldStreamEx::Shutdown
0021F1EC cWorldStreamEx::~cWorldStreamEx
0021F388 CalcScreenSize
0021F570 GetLucidWorldKey
0021F588 IsLucidWorldCreated
0021F5A0 IncLucidWorldRefCount
0021F5C0 AllocLudicWorld
0021F600 ModelIsTransient
0021F618 ResetLucidWorld
0021F634 ConstructMeshBuffers
0021F98C ConstructModelBuffers
0021FC3C CanDestroyLucidWorld
0021FC5C DestroyLucidWorld
0021FCC0 sDMAMesh::sDMAMesh
0021FD38 sDMAMesh::~sDMAMesh
0021FDA0 FreeLucidWorld
0021FE04 cWorldStreamEx::DrawPrimitiveRef
002207E8 cWorldStreamEx::RenderNoCull
00220A68 ReadPacket
00220C30 CreateLucidWorld
002216F8 CMatrix::~CMatrix
00221728 const,CullFade>>>::_M_erase
002218BC &&>,std::tuple<>>
00221B54 const&>
00221C7C MP3Stream::MP3Stream
00221DC8 MP3Stream::MP3Stream
00221EEC MP3Stream::MP3Stream
00221FDC MP3Stream::Delete
002220F0 MP3Stream::~MP3Stream
00222114 MP3Stream::FileRead
00222168 MP3Stream::Initialize
002222A8 MP3Stream::DecodeStream
00222324 MP3Stream::FillBuffer
002225B0 MP3Stream::QueueBuffer
002225D8 MP3Stream::Update
002226F0 MP3Stream::Pause
0022271C MP3Stream::Resume
00222758 MP3Stream::IsPlaying
002227CC MP3Stream::IsPaused
002227E4 MP3Stream::Start
00222914 MP3Stream::SetVolume
00222954 MP3Stream::SetPan
00222968 MP3Stream::GetPosition
00222994 MP3Stream::GetLength
002229B0 cMusicManager::~cMusicManager
002229C4 cMusicManager::cMusicManager
00222A64 cMusicManager::ResetMusicAfterReload
00222C98 cMusicManager::Initialise
00222EBC cMusicManager::AddToTrackListenTime
00222EF0 cMusicManager::Terminate
00222F48 cMusicManager::SetRadioChannelByScript
00222FB4 cMusicManager::SaveAnnouncementsWhenMissionPassedPlayed
00222FE0 cMusicManager::ResetTimers
00223014 cMusicManager::OnMemstickChange
00223030 cMusicManager::KillCustomSoundTracks
00223044 cMusicManager::FixRequestedTrack
002230C0 cMusicManager::SetUpCorrectAmbienceTrack
002233AC GetHeightScale
00223414 cMusicManager::ComputeAmbienceVol
002236F0 cMusicManager::SpecialFullVolumeTrack
00223728 cMusicManager::PlayFrontEndTrack
00223838 cMusicManager::StopFrontEndTrack
0022388C cMusicManager::Disable
002238A0 cMusicManager::Enable
002238B4 cMusicManager::PlayAnnouncement
00223904 cMusicManager::UpdateTrackTimers
00223950 cMusicManager::GetTrackStartPos
002239E0 cMusicManager::PlayerInCar
00223A74 cMusicManager::UsesPoliceRadio
00223B9C cMusicManager::UsesTaxiRadio
00223C08 cMusicManager::SetRadioInCar
00223CB0 cMusicManager::GetRadioInCar
00223DE8 cMusicManager::SetStartListenTime
00223E1C cMusicManager::RecordRadioStats
00223E70 cMusicManager::GetListenTimeArray
00223E88 cMusicManager::GetRadioPosition
00223EB8 cMusicManager::GetFavouriteRadioStation
00223FE4 cMusicManager::SetMalibuClubTrackPos
002240C8 cMusicManager::SetStripClubTrackPos
002241AC cMusicManager::StationsAreSame
00224250 cMusicStreamer::Init
00224264 cMusicStreamer::IsFilePlaying
00224290 cMusicManager::IsChannelPlaying
002242E4 cMusicStreamer::GetPlayFilePos
00224308 cMusicStreamer::SetLoopFlag
00224330 cMusicStreamer::CheckForTHEFUCKUP
00224344 cMusicStreamer::StopPlayFile
00224368 cMusicManager::ChangeMusicMode
002244C4 cMusicManager::StopCutSceneMusic
00224534 cMusicStreamer::SetVolumeAndPan
0022456C cMusicStreamer::PlayFile
002245B0 cMusicManager::ServiceAnnouncement
002247A0 cMusicManager::PreloadCutSceneMusic
00224860 cMusicManager::ServiceTrack
00224FE8 cMusicStreamer::PlayPreLoadedFile
00225010 cMusicManager::PlayPreloadedCutSceneMusic
002250A0 cMusicManager::ServiceFrontEndMode
002254B4 cMusicManager::GetCarTuning
002255A4 cMusicManager::GetNextCarTuning
002256CC cMusicManager::ServiceGameMode
00225EB4 cMusicManager::Service
002260CC cMusicManager::DisplayRadioStationName
00226618 base::cSingletonBase::~cSingletonBase
00226640 base::cSingleton<cCustomSoundTrack>::~cSingleton
0022667C base::cSingletonBase::~cSingletonBase
002266A8 base::cSingleton<cCustomSoundTrack>::~cSingleton
002266E8 cCustomSoundTrack::~cCustomSoundTrack
00226828 cCustomSoundTrack::~cCustomSoundTrack
00226970 CText::Instance
002269B8 base::cSingleton<cCustomSoundTrack>::CreateInstance
00226A38 cSampleManager::~cSampleManager
00226AA4 cSampleManager::cSampleManager
00226AEC SetUpDebugBanksInfo
00226D24 cSampleManager::InitialiseSampleBanks
00226D3C cSampleManager::Service
00226F24 cSampleManager::IsARadioConnectedSFX
00226F48 cSampleManager::GetBankContainingSound
00226F9C cSampleManager::IsPedCommentLoaded
00227018 cSampleManager::GetSampleBaseFrequency
00227040 cSampleManager::GetSampleLength
00227068 cSampleManager::SetChannelVolume
0022718C cSampleManager::SetChannelPan
002271A0 cSampleManager::SetChannelFrequency
00227234 cSampleManager::SetChannel3DPosition
0022728C cSampleManager::SetChannelEmittingVolume
00227328 cSampleManager::SetChannel3DDistances
002273A4 cSampleManager::GetChannelUsedFlag
00227454 cSampleManager::StartChannel
002274D8 cSampleManager::StopChannel
002275BC cSampleManager::PreloadStreamedFile
00227684 cSampleManager::PauseStream
002276D0 cSampleManager::PauseAllStreams
00227704 cSampleManager::SetStreamedFileLoopFlag
00227734 cSampleManager::StartPreloadedStreamedFile
00227774 cSampleManager::StartStreamedFile
002278F4 cSampleManager::StopStreamedFile
00227964 cSampleManager::GetStreamedFilePosition
0022799C cSampleManager::SetStreamedVolumeAndPan
00227B0C cSampleManager::IsStreamPlaying
00227B90 cSampleManager::GetStreamedFileLength
00227BB4 cSampleManager::SetEffectsMasterVolume
00227BD4 cSampleManager::SetMusicMasterVolume
00227BEC cSampleManager::SetEffectsFadeVolume
00227C0C cSampleManager::SetMusicFadeVolume
00227C2C cSampleManager::InitialiseChannel
00227F60 cSampleManager::IsMissionAudioLoaded
00227FDC cSampleManager::SetChannelFRMix
00227FF0 cSampleManager::Terminate
00228004 cSampleManager::Initialise
0022848C cSampleManager::SuspendAudioContext
00228530 cSampleManager::ResumeAudioContext
002285C8 OS_AudioSuspend
002285E8 OS_AudioResume
00228608 cSampleManager::LoadPedComment
002287E4 cSampleManager::LoadMissionAudio
0022895C cSampleManager::SetChannelLoopCount
00228AA0 *>::~vector
00228AC4 const&>
00228B8C std::vector<PendingLoopInfo>::_M_emplace_back_aux<PendingLoopInfo>
00228C74 cMemMessage::cMemMessage
00228C88 cMemMessage::Print
00228CA4 SampmanInitialiseBanks
00228DA4 SampmanInitialise
00228E18 SampmanInit
00228E30 StreamThread::StreamThread
00228E6C CdStreamInitThread
00228F90 CdStreamInit
00229000 CdStreamShutdown
002290C8 CdStreamGetStatus
00229138 CdStreamGetLastPosn
0022915C CdStreamSync
002291CC CdStreamGetCurrentDisc
002291E4 AddToQueue
00229214 CdStreamRead
002292A8 GetFirstInQueue
002292D4 GetLastInQueue
00229310 RemoveFirstInQueue
0022933C StreamThread::ThreadMain
00229414 CdStreamAddImage
00229488 CdStreamGetImageName
002294C0 CdStreamRemoveImages
00229574 CdStreamGetNumImages
00229598 CdStreamSetLastPosnRead
002295BC StreamThread::~StreamThread
002295E8 StreamThread::~StreamThread
0022961C base::BcfOpen
002296D0 GameTickThread::onInit
002296E4 GameTickThread::onTick
00229734 GameTickThread::~GameTickThread
00229784 GameTickThread::~GameTickThread
002297A4 GameTickThread::GameTickThread
00229808 GameTickThread::bind
00229860 GameTickThread::bind
00229884 GameTickThread::unbind
002298D0 createGameTickThread
002298F0 destroyGameTickThread
00229910 gameTickThreadBound
00229934 bindGameTickThread
00229A18 unbindGameTickThread
00229A38 requestEnableGameTickThread
00229AD4 gameTickThreadPendingStateChange
00229B10 syncGameTickThread
00229C5C lglThread::~lglThread
00229C84 lglThread::onInit
00229C98 lglThread::~lglThread
00229CC8 IsCheatEnabled
00229CE0 IsMouseInverted
00229D0C GetMobileEffectSetting
00229D30 WasButtonReleased
00229D74 *LoadMenuIcons
00229F94 UnloadMenuIcons
00229FDC GetIconForOption
0022A3C4 CurrentOptionIs3DTouch
0022A40C CurrentOptionIsDisabled
0022A550 SwitchScreenToTvVersion
0022A580 HasTappedScreen
0022A63C IsCloudSaveSlot
0022A660 CMenuManager::ResetFades
0022A680 CMenuManager::CreateMissionJump
0022A868 CMenuManager::CMenuManager
0022A944 FindStringWithGameType
0022AC1C FindStringWithGameMap
0022AEF4 SetLocalizedLegalScreen
0022AF14 Inflate
0022AF90 CMenuManager::LoadAllTextures
0022B0BC CMenuManager::ChangeLanguage
0022B0E8 CMenuManager::InitialiseChangedLanguageSettings
0022B2F4 DrawShadowedText
0022B3E4 DrawMenuBackground
0022B46C CMenuManager::HandleScrollInput
0022BD4C CMenuManager::DrawPlayerSetupScreen
0022BD60 CMenuManager::DrawGamesListScreen
0022BD74 CMenuManager::HandleVerticalScrollInput
0022C520 CMenuManager::JumpToErrorScreen
0022C578 DrawControllerIcon
0022C988 CMenuManager::ApplyScrollInput
0022CB68 CMenuManager::GetPrintBriefsHeight
0022CC48 CMenuManager::GetPrintHelpHeight
0022CD10 CMenuManager::DrawMemoryCardStartUpMenus
0022CD24 CheckForAppRate
0022CDA4 CMenuManager::RequestFrontEndShutDown
0022CE14 CMenuManager::RequestFrontEndStartUp
0022CE7C CMenuManager::ShutDownJustMenu
0022CEC8 CMenuManager::FilterOutColorMarkersFromString
0022CF84 CMenuManager::FilterOutColorMarkersFromString
0022D1C8 CMenuManager::PickNewPlayerColour
0022D240 CMenuManager::ApplySettings
0022D2C4 CMenuManager::DeferredApplySettings
0022D380 CMenuManager::SaveSettings
0022D93C CMenuManager::Back
0022D988 CMenuManager::SwitchMenuOnAndOff
0022DD1C CMenuManager::LoadSettings
0022E6DC CMenuManager::GetStartOptionsCntrlConfigScreens
0022E6F4 CMenuManager::GetNumOptionsCntrlConfigScreens
0022E70C CMenuManager::DoSettingsBeforeStartingAGame
0022E7FC CMenuManager::StretchX
0022E814 CMenuManager::DisplaySlider
0022ED68 CMenuManager::StretchY
0022ED80 CMenuManager::DrawCharacter
0022EED8 CMenuManager::DrawLoadingScreen
0022EF8C CMenuManager::PrintCredits
0022F15C CMenuManager::PrintController
0022F7D0 CMenuManager::GetScrollTextFade
0022F8AC CMenuManager::FadeIn
0022F8F0 CMenuManager::DrawVerticalScrollMenu
00230060 CMenuManager::PrintStats
002305F8 CMenuManager::PrintBriefs
002308C0 CMenuManager::PrintHelp
00230B60 CMenuManager::ProcessOnOffMenuOptions
002312E8 CMenuManager::ProcessMultiMenuOptions
002315B8 CMenuManager::CheckSliderMovement
002319C0 CMenuManager::MessageScreen
00231C44 InitRadarMap
00231D94 DeleteRadarMap
00231E10 CMenuManager::UnloadTextures
00231EAC CMenuManager::~CMenuManager
00231EEC CMenuManager::SetFrontEndRenderStates
00231F00 CMenuManager::PrintMap
00232930 CMenuManager::HandleMapInput
0023299C CMenuManager::StartNewGame
002329CC CMenuManager::IsAdjustingControls
00232A00 CMenuManager::PrintScreenDetails
00232A14 CMenuManager::DrawScrollMenu
002333FC CMenuManager::SetMenuScrollPos
0023345C CMenuManager::GetCurrentLabelValueOnOff
002338BC CMenuManager::GetCurrentLabelValueSlider
00233A10 CMenuManager::PrintRadioStationList
00233D84 CMenuManager::SetRadioStation
00233DB0 CMenuManager::JumpToLinkURL
00233DE8 CMenuManager::DrawLinkIcon
00234074 CMenuManager::Draw3DTouchHelp
00234284 CMenuManager::CurrentScreenCanOnlyNavigateBackwards
002342E4 CMenuManager::Draw
00239B90 CMenuManager::DrawFrontEndNormal
0023AB28 CMenuManager::DrawFrontEnd
0023AE10 CMenuManager::ProcessButtonPresses
0023CBB8 CMenuManager::Process
0023D5A0 CRGBA::~CRGBA
0023D5B4 MenuItemCoords::MenuItemCoords
0023D984 CheckGL
0023D99C RecalculatePixelsHeight
0023D9C0 RecalculatePixelsWidth
0023D9E4 LoadSystemIOPModules
0023D9F8 LoadGameIOPModules
0023DA0C LoadIOPKernel
0023DA20 VBlankCounter
0023DA50 WaitVBlank
0023DA64 SetupOptionFlags
0023DACC andysCleanUp
0023DAE0 *PrintVersionString
0023DB84 EnsureAsMuchOfStreamingMemIsAsMovableAsPossible
0023DC30 ShMemoryFailureHandler
0023DC90 VolMemoryFailureHandler
0023DCD8 MainMemoryFailureHandler
0023DE9C PlayIntroMPEGs
0023DEB0 CreateOffscreenTextures
0023E088 GameInit
0023E954 InitialMemoryCardAndControllerChecks
0023E980 IdleThread
0023E98C CreateIdleThread
0023E9A0 *SystemInit
0023EA4C DoRslStuffBeginFrame
0023EB80 DoRslStuffBeginFrame_Setup
0023EC34 RenderHorizon
0023ECAC DoRslRenderHorizon
0023ECC0 *DrawLoadingText
0023F2B4 UmdUpdateLoadingScreen
0023F2C8 DoRslStuffEndFrame
0023F420 ComponentAttach
0023F438 IsSplashActive
0023F45C LoadSplash
0023F558 DoFade
0023F890 DestroySplashScreen
0023F8B8 GetRandomSplashScreen
0023F92C GetLevelSplashScreen
0023F950 ResetLoadingScreenBar
0023F978 DrawLoadingBar
0023FAF8 setLoadingScreenMsg
0023FB1C LoadingScreen
0023FBA4 LoadingIslandScreen
0023FD10 PrintMemoryUsage
002409D0 MemoryCardVersionCheck
002409E4 ProcessSlowMode
00240B7C MemoryCardShit
00240B90 TheModelViewerCore
00240C68 TheModelViewer
00240C9C ProfileOverhead
00240CB0 RenderScene
00240D7C RenderDebugShit
00240D90 FredIsInFirstPersonCam
00240DD0 RenderEffects
002411AC Render2dStuff
00241550 *RenderMenus
00241614 Render2dStuffAfterFade
00241630 AppEventHandler
0024176C MultiplayerSplashScreenOn
00241790 ClearMultiplayerSplashScreen
002417B8 MemoryFailureHandler
00241B24 NonSubMainMemoryFailureHandler
00241B7C NonSubShMemoryFailureHandler
00241BD4 DrawGameBackground
00241C84 GameStart
00241EAC LucidGameInit
00242104 GTAGameInit
0024212C GTAGameTick
00242254 *RenderFullscreenQuadHack
00242340 DrawGame
0024258C GameCoreTick
00242C88 TouchControls::Reset
00242D54 TouchControls::Update
00242EF4 TouchControls::FindTouch
00243040 TouchControls::GetTouchByIndex
0024306C TouchControls::NewTouch
00243310 TouchControls::AcquireTouch
00243384 TouchControls::RecordTouch
002433F0 TouchControls::RecordTouchInUISpace
00243558 TouchControls::RecordTouch
00243598 TouchControls::C_TouchState::C_TouchState
002436D0 lgDebugTweakInit
002436E4 lgDebugTweakUpdate
002436F8 lgDebugTweakShutdown
0024370C C_AnalyticsEvents::C_AnalyticsEvents
00243734 C_AnalyticsEvents::GetInstance
0024377C C_AnalyticsEvents::StartSession
00243808 C_AnalyticsEvents::EndSession
002438A0 C_AnalyticsEvents::UpdateSession
002438D0 C_AnalyticsEvents::ControllerUsed
00243900 C_BoundingBoxRenderer::~C_BoundingBoxRenderer
00243968 GetTexture
002439B0 Lucid::C_BoxMesh::C_BoxMesh
00243A00 Lucid::C_BoxMesh::~C_BoxMesh
00243A14 Lucid::MakeVertex
00243A90 Lucid::MakeVertex
00243B0C Lucid::C_BoxMesh::SetColour
00243B48 Lucid::C_BoxMesh::Create
00244484 Lucid::C_BoxMesh::Destroy
00244498 Lucid::C_BoxMesh::Render
002445DC C_BoundingBoxRenderer::C_BoundingBoxRenderer
00244690 C_BoundingBoxRenderer::Setup
002446A4 C_BoundingBoxRenderer::BeginRender
002446B8 C_BoundingBoxRenderer::SetColour
002446E4 C_BoundingBoxRenderer::RenderBox
002446F8 C_BoundingBoxRenderer::EndRender
0024470C C_BoundingBoxRenderer::RenderPending
00244720 C_BoundingBoxRenderer::SetViewMatrix
00244734 C_BoundingBoxRenderer::AddToQueue
00244748 RenderAABB
0024475C RenderSolidAABB
00244770 RenderBox
00244784 Render3DLine
00244798 AND_GamepadInitialize
002447DC AND_GamepadUpdate
00244834 OS_GamepadIsConnected
00244870 OS_GamepadAnyInput
00244988 OS_GamepadButton
002449A4 OS_GamepadAxis
00244A08 OS_GamepadTouchpad
00244A20 AND_GamepadUpdateAccelerometer
00244A4C OS_GamepadAccelerometer
00244A98 OS_LanguageUserSelected
00244D04 OS_LanguageDeviceRegion
00244D1C OS_MoviePlay
00244D60 OS_MovieIsPlaying
00244D70 AND_TouchInitialize
00244D84 AND_TouchEvent
00244F20 OS_PointerGetNumber
00244F38 OS_PointerLock
00244F4C OS_PointerGetType
00244F6C Services::SetBackBuffer
00244F80 Services::OS_ServiceOpenLink
00244F94 
00244FC8 SocialServices::SSLCSCloudDelegate::lcsCloudSaveSuccess
00244FEC SocialServices::SSLCSCloudDelegate::lcsCloudLoadSuccess
00245010 SocialServices::IsSignedIn
00245024 SocialServices::GetCloudSaveManifest
00245048 SocialServices::WriteCloudSaveFile
0024505C SocialServices::ReadCloudSaveFile
00245070 SocialServices::SetCloudDelegate
00245098 SocialServices::GetRockstarId
002450AC SocialServices::IsNetworkReachable
002450D0 SocialServices::ShowLoadingBar
00245150 SocialServices::ShowLoadingScreen
002451C4 SocialServices::HideLoadingScreen
0024523C SocialServices::ResetLoadingScreenShowRequestIssuedThisFrameFlag
00245264 SocialServices::HasLoadingScreenShowRequestBeenIssuedThisFrame
00245288 SocialServices::SignOut
002452A0 SocialServices::InvokedFromIngame
002452C8 SocialServices::SocialClubSignedIn
002452E8 SocialServices::SocialClubGuiActive
0024530C SocialServices::GetAnalyticsAction
00245450 SocialServices::AddSocialClubTelemetry
00245464 SocialServices::AddSocialClubTelemetry
00245478 SocialServices::AddAnalyticsEvent
002455F8 SocialServices::AddAnalyticsEvent
00245770 SocialServices::AddAnalyticsEvent
00245964 SocialServices::AddSCTelemetryPlayerInfo
00245AB8 SocialServices::AddSCTelemetryGameInfo
00245C04 SocialServices::AddSCTelemetrySessionInfo
00245D58 GAEventTracking::~GAEventTracking
00245D84 GAEventTracking::~GAEventTracking
00245DB8 AND_TimeInitialize
00245E0C OS_TimeAccurate
00245ED4 OS_TimeMS
00245F00 OS_ThreadSleep
00245F18 GetDeviceLanguage
00246074 PlayMovie
002461A4 IsPlayingMovie
00246288 OS_PlaylistInit
00246398 OS_PlaylistPlay
00246474 OS_PlaylistPause
00246550 OS_PlaylistPlaying
00246634 OS_PlaylistHasMusic
00246718 OS_PlaylistHasGooglePlaylist
002467FC OS_PlaylistSetVolume
00246810 OS_IsTVDevice
00246840 OS_HasVibrator
00246864 OS_GoToURL
00246974 OS_ShowLoadingScreen
00246A50 OS_HideLoadingScreen
00246B2C OS_UpdateLoadingBar
00246CE4 StartSocialClub
00246DC0 SocialClubHasSignedIn
00246DD4 CallSocialClubUpdate
00246EB0 CallSocialClubSignOut
00246F8C OS_QuitApp
00247068 RemoveFrameRateLock
00247144 setKeepScreenOn
00247228 SetInUI
0024730C GetAndroidVersionName
00247468 sub_247468
00247658 AndroidUtil_JNIInit
00247884 _JNIEnv::CallStaticObjectMethod
002478C0 _JNIEnv::CallStaticBooleanMethod
002478FC _JNIEnv::CallStaticVoidMethod
00247938 &&>,std::tuple<>>
00247E98 const,std::string>>>::_M_erase
00248544 C_JavaAPI::~C_JavaAPI
00248680 TouchSense::startContinuousBuiltinEffect
00248738 TouchSense::stopContinuousEffect
00248764 TouchSense::playBuiltinEffect
002487F8 TouchSense::~TouchSense
00248864 TouchSense::deleteInstance
002488A0 TouchSense::TouchSense
00248A00 TouchSense::instance
00248A48 Java_com_rockstargames_gtalcs_GTAActivity_initTouchSense
00248AD4 TouchSense::playBuiltinEffectInternal
00248B70 TouchSense::run
00248CD4 TouchSense::threadFunc
00248CE8 sub_248CE8
00248D30 NVThreadInit
